busstop,lat,lon
"BChannasandra,IN FRONT OF MUNESHWARA TEMPLE",13.0109717957895,77.6591979466392
"SRR Kalyana Mantapa,O.M.B.R.LAYOUT,BESIDE S.R.R. KALYANA MANTAPA",13.0073486382714,77.6543309938467
"OMBR Layout,O.M.B.R.LAYOUT,IN FRONT OF MEDPLUS MEDICALS",13.0080712907026,77.6523373915859
"Ayyappa Bakery,O.M.B.R.LAYOUT,OPPOSITE OF AYYAPPA BAKERY",13.0061506388919,77.6479392315577
"Chikka Banasawadi,CHIKKA BANASAWADI,OPPOSITE OF GOVT SCHOOL",13.0063457360124,77.645256144053
"Ayyappa Temple,SUBBAIAHAN PALYA,IN FRONT OF MITSUBISHI ELECTRIC",13.005966024448,77.6406978311506
"Indian Oil,SUBBAIAHAN PALYA,OPPOSITE OF BATA SHOW ROOM",13.0053949512704,77.6386475395901
"Maruthi Seva Nagara,MARUTHI SEVA NAGARA,IN FRONT OF SWATHI SWEETS",13.0024997772458,77.6345760669977
"Jai Bharath Nagara,MARUTHI SEVA NAGARA,BESIDE CANARA BANK",13.0015513815543,77.6307678770398
"ITC,COOKES TOWN,OPPOSITE OF CANARA MANSION APARTMENTS",12.9985508323,77.6220733579
"Mosque Road,FRAZER TOWN,BESIDE GOVT URDU HIGHER PRIMARY SCHOOL",13.0002410783144,77.6160897868479
"Coles Road,FRAZER TOWN,IN FRONT OF CANARA BANK",12.9962902235097,77.6123075872811
Coles Park,12.9954445816083,77.6084019713916
"Bamboo Bazaar,SHIVAJI NAGARA,BESIDE HKBK DEGREE COLLEGE",12.9917197691225,77.6022677704006
CSI,12.98965218,77.59936485
"Indian Express,BALEKUNDRI CIRCLE",12.98356746,77.59718107
MG statue,12.97726591,77.59921884
Museum Kasturba Road,12.97385815,77.59576177
St Joseph Boys High school,12.970226422009,77.5943954634781
Corporation,12.96684409,77.58810963
Town Hall,12.96355999,77.58437509
"Krishnarajendra Market,KR MARKET,OPPOSITE TO CHANDRA BHAVAN HOTEL",12.964049,77.577499
