route_no,busstop,lat,lon
100E,"Sadhashivanagar,SADASHIVA NAGARA,BESIDE GIRI DENTAL CLINIC",13.00857031,77.58028647
100E,"Bashayam Circle Sadashiva Nagara,SADASHIVA NAGARA,BESIDE SANKEY APARTMENTS",13.00615112,77.57944384
100E,"RM Guttahalli,PALACE GUTTAHALLI,BESIDE OPEN AREA",12.99972405,77.58429704
100E,Ganesha Temple,12.99517,77.59201
100E,Contonment Railway Station,12.99385097,77.59725653
100E,CSI Hospital,12.98983516,77.59938044
100E,Indian Express,12.98419508,77.59868865
100E,Shivajinagar Bus Station,12.98368012,77.6035693
100E,Maniksha Parade Ground,12.97739,77.60818
100E,Mayohall,12.9720408,77.61065209
100E,DSouza Circle,12.96668751,77.60945213
100E,"Elgin Floor Mill,LANGFORD TOWN SHANTHI NAGARA,OPPOSITE OF CROPS OF MILITARY SCHOOL",12.9582152,77.60617545
100E,Tollgate Adugodi,12.95233248,77.60532533
100E,Adugodi,12.94456541,77.60754263
100E,Audugodi Police Station,12.93966396,77.60969673
100E,"Jyothi nivas College,KORAMANGALA,IN FRONT OF BHARAT PETROL BUNK",12.93560794,77.61466325
100E,"Koramangala Kalyana Mantapa,KORAMANGALA,IN FRONT OF BBMP PARK",12.93728339,77.61836939
100E,"Koramangala Police Station,KORAMANGALA,IN FRONT OF BETHANY HIGH SCHOOL",12.94130847,77.62109008
100E,BMTC Depot-15,12.94081834,77.6246332
100E,"Jn of 80 and 100 Feet Road,KORAMANGALA RING ROAD,BESIDE SONY CENTER",12.93701735,77.62683973
100E,"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE CANARABANK",12.9342349,77.62384647
100E,"BDA Complex koramangala,KORAMANGALA RING ROAD,BESIDE BDA COMPLEX",12.93115052,77.62249472
100E,"Koramangala Water Tank,KORAMANGALA RING ROAD,BESIDE WATER TANK",12.92789399,77.62122712
100E,Krupanidhi College,12.92377,77.62812315
100E,Madiwala MARKET,12.92174684,77.62170076
100E,"Central Silk Board,BTM LAYOUT, MADIWALA,IN FRONT OF CENTRAL SILK BOARD",12.91651092,77.62106639
100E,"BTM Layout,BTM Layout 2nd Stage,Kuvempunagara Bus Stand",12.916211,77.615991
300A,"BChannasandra,IN FRONT OF MUNESHWARA TEMPLE",13.0109718,77.65919795
300A,"SRR Kalyana Mantapa,O.M.B.R.LAYOUT,BESIDE S.R.R. KALYANA MANTAPA",13.00734864,77.65433099
300A,"OMBR Layout,O.M.B.R.LAYOUT,IN FRONT OF MEDPLUS MEDICALS",13.00807129,77.65233739
300A,"Ayyappa Bakery,O.M.B.R.LAYOUT,OPPOSITE OF AYYAPPA BAKERY",13.00615064,77.64793923
300A,"Chikka Banasawadi,CHIKKA BANASAWADI,OPPOSITE OF GOVT SCHOOL",13.00634574,77.64525614
300A,"Ayyappa Temple,SUBBAIAHAN PALYA,IN FRONT OF MITSUBISHI ELECTRIC",13.00596602,77.64069783
300A,"Indian Oil,SUBBAIAHAN PALYA,OPPOSITE OF BATA SHOW ROOM",13.00539495,77.63864754
300A,"Maruthi Seva Nagara,MARUTHI SEVA NAGARA,IN FRONT OF SWATHI SWEETS",13.00249978,77.63457607
300A,"Jai Bharath Nagara,MARUTHI SEVA NAGARA,BESIDE CANARA BANK",13.00155138,77.63076788
300A,"ITC,COOKES TOWN,OPPOSITE OF CANARA MANSION APARTMENTS",12.99855083,77.62207336
300A,"Mosque Road,FRAZER TOWN,BESIDE GOVT URDU HIGHER PRIMARY SCHOOL",13.00024108,77.61608979
300A,"Coles Road,FRAZER TOWN,IN FRONT OF CANARA BANK",12.99629022,77.61230759
300A,Coles Park,12.99544458,77.60840197
300A,"Bamboo Bazaar,SHIVAJI NAGARA,BESIDE HKBK DEGREE COLLEGE",12.99171977,77.60226777
300A,CSI,12.98965218,77.59936485
300A,"Indian Express,BALEKUNDRI CIRCLE",12.98356746,77.59718107
300A,MG statue,12.97726591,77.59921884
300A,Museum Kasturba Road,12.97385815,77.59576177
300A,St Joseph Boys High school,12.97022642,77.59439546
300A,Corporation,12.96684409,77.58810963
300A,Town Hall,12.96355999,77.58437509
300A,"Krishnarajendra Market,KR MARKET,OPPOSITE TO CHANDRA BHAVAN HOTEL",12.964049,77.577499
400A,HAL Main Gate,12.95843,77.66592
400A,BEML Gate,12.97119,77.65874
400A,"GTRE,HAL 3RD STAGE,OPPOSITE OF BEML LIMITED BANGALORE COMPLEX",12.97581229,77.65551318
400A,"NGEF Ground,SADANANDA NAGARA,IN FRONT OF N.G.E.F.FACTORY",12.99193575,77.65178788
400A,"Sadananda Nagara,SADANANDA NAGARA,IN FRONT OF DOOR NO 188",12.99440984,77.65802736
400A,Kasthuri Nagara,13.003991,77.663058
400A,"Jn Of Ring Road Channasandra,RAMAMURTHI NAGARA,BESIDE RAILWAY BRIDGE",13.01322323,77.66278483
400A,"Ramamurthinagar Police Station,RAMAMURTHI NAGARA,IN FRONT OF POLICE STATION",13.01209031,77.66779647
400A,"Alada Mara Ramamurthy Nagar,RAMAMURTHI NAGARA,OPPOSITE OF HI-FASHION FAMILY STOP",13.01153467,77.6769405
400A,"Church RM Nagar,RAMAMURTHI NAGARA,IN FRONT OF VISMAYA ENTERPRISES",13.01176167,77.67879709
400A,"ITI Circle,DOORAVANI NAGARA,IN FRONT OF VIJAYALAKSHMI ENTERPRISES",13.008053,77.683226
400A,ITI Calony Gate,13.00554797,77.68555428
400A,KR Puram,13.00812824,77.69515944
500A,BANASHANKARI TTMC,12.91756291,77.57344712
500A,"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",12.91762498,77.57737795
500A,"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE KRISHNA SEVA ASHRAMA HOSPITAL",12.91709164,77.58492434
500A,"Marenahalli Petrol Bunk,PATTABHIRAMA NAGARA,BESIDE AKKA MAHADEVI PARK",12.91704101,77.58865857
500A,"Ragigudda,JAYANAGARA 9TH BLOCK,BESIDE RAGHAVENDRA UPAHARA",12.9169,77.59314519
500A,"Jayadeva Hospital,JAYANAGARA 9TH BLOCK,HEALTHY INTERNATIONAL HOMEOPATHY",12.91685779,77.59746904
500A,"MICO Layout,BTM LAYOUT 1ST STAGE",12.91669777,77.60346678
500A,"BTM water Tank,BTM LAYOUT,IN FRONT OF CORPORATION BANK",12.91670482,77.60674168
500A,"Udupi Garden 16th Main,BTM LAYOUT,BESIDE BANGLOR ONE CENTER",12.91664233,77.60903892
